frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,sclk,sol
ROVER,113,2490,4,-11892.064,-2986.575,-845.891,-283931.332,8143824.648,-4.790093314,-4.846714733,137.391247669,-3655.109,49669.33,11146.59,12418.26,2787.16,3.027,4.712,-177.823,0.017891912,0.041584430,-0.025608756,-0.998646500,794232356,4469
ROVER,113,2496,4,-11892.939,-2986.571,-846.000,-283932.207,8143824.652,-4.790108074,-4.846729666,137.391247733,-3655.000,49672.83,11146.61,12419.13,2787.16,3.971,5.226,176.713,0.030209160,-0.044553343,0.035900240,0.997904600,794232423,4469
ROVER,113,2502,2,-11893.655,-2986.471,-846.075,-283932.923,8143824.752,-4.790120149,-4.846741882,137.391249423,-3654.925,49675.69,11147.01,12419.85,2787.26,0.604,9.898,166.402,0.118394640,-0.085038945,0.015424768,0.989198270,794232522,4469
ROVER,113,2508,4,-11894.506,-2986.187,-846.125,-283933.774,8143825.036,-4.790134513,-4.846756414,137.391254223,-3654.875,49679.10,11148.15,12420.70,2787.54,1.375,7.381,161.643,0.159929020,-0.061625548,0.022086530,0.984955430,794232572,4469
ROVER,113,2514,4,-11895.297,-2985.931,-846.295,-283934.565,8143825.292,-4.790147856,-4.846769913,137.391258536,-3654.705,49682.26,11149.17,12421.49,2787.80,-0.299,7.128,161.857,0.157202360,-0.061799750,0.007229438,0.985604350,794232627,4469
ROVER,113,2520,4,-11896.174,-2985.617,-846.304,-283935.442,8143825.606,-4.790162650,-4.846784880,137.391263829,-3654.696,49685.77,11150.42,12422.37,2788.11,1.560,3.435,161.502,0.161040260,-0.027394980,0.018243382,0.986398900,794232689,4469
ROVER,113,2526,4,-11896.963,-2985.353,-846.450,-283936.231,8143825.870,-4.790175952,-4.846798339,137.391268283,-3654.550,49688.92,11151.48,12423.16,2788.38,1.087,5.123,160.618,0.168574410,-0.042459800,0.016864903,0.984629600,794232748,4469
ROVER,113,2532,4,-11897.898,-2985.047,-846.547,-283937.166,8143826.176,-4.790191726,-4.846814297,137.391273444,-3654.453,49692.66,11152.70,12424.09,2788.68,-0.725,6.376,161.331,0.161595030,-0.055898473,0.002787655,0.985268830,794232806,4469
ROVER,113,2538,4,-11898.703,-2984.779,-846.608,-283937.971,8143826.444,-4.790205321,-4.846828051,137.391277973,-3654.392,49695.89,11153.78,12424.90,2788.95,1.775,6.943,162.104,0.156156480,-0.057407252,0.024686877,0.985753600,794232870,4469
ROVER,113,2544,4,-11899.614,-2984.532,-846.704,-283938.882,8143826.691,-4.790220685,-4.846843595,137.391282141,-3654.296,49699.53,11154.76,12425.81,2789.20,3.266,5.775,167.097,0.113596220,-0.046837766,0.033937230,0.991841900,794232938,4469
ROVER,113,2550,4,-11900.420,-2984.364,-846.759,-283939.688,8143826.859,-4.790234288,-4.846857357,137.391284969,-3654.241,49702.75,11155.44,12426.61,2789.37,2.976,7.007,167.311,0.111842930,-0.057851832,0.032507043,0.991507770,794232996,4469
ROVER,113,2556,4,-11901.286,-2984.131,-846.880,-283940.554,8143827.092,-4.790248894,-4.846872134,137.391288900,-3654.120,49706.22,11156.37,12427.48,2789.60,3.648,9.761,163.046,0.149478100,-0.079431154,0.043900754,0.984591100,794233058,4469
ROVER,113,2562,2,-11902.240,-2983.869,-847.024,-283941.508,8143827.354,-4.790264984,-4.846888413,137.391293319,-3653.976,49710.03,11157.42,12428.43,2789.86,2.507,6.664,166.400,0.119441350,-0.055113140,0.028565135,0.990898700,794233144,4469
ROVER,113,2568,4,-11902.890,-2983.732,-847.136,-283942.158,8143827.491,-4.790275944,-4.846899501,137.391295630,-3653.864,49712.63,11157.96,12429.08,2790.00,1.651,11.538,167.456,0.110121760,-0.098338510,0.025232200,0.988719400,794233195,4469
ROVER,113,2574,4,-11903.876,-2983.501,-847.246,-283943.144,8143827.722,-4.790292585,-4.846916337,137.391299533,-3653.754,49716.58,11158.89,12430.07,2790.23,3.367,8.494,167.161,0.113612450,-0.070286214,0.037394598,0.990330100,794233256,4469
ROVER,113,2580,4,-11904.659,-2983.330,-847.367,-283943.927,8143827.893,-4.790305795,-4.846929702,137.391302413,-3653.633,49719.71,11159.57,12430.85,2790.40,2.585,7.107,167.544,0.109641950,-0.059159737,0.029102571,0.991782100,794233316,4469
ROVER,113,2586,4,-11905.474,-2983.146,-847.512,-283944.742,8143828.077,-4.790319541,-4.846943609,137.391305521,-3653.488,49722.97,11160.31,12431.67,2790.58,4.567,10.024,164.329,0.139152380,-0.081064430,0.051224638,0.985617160,794233375,4469
